,0,1,# of Shots 0
16,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3016708786_3591106cca.jpg,Three men with mouths open and one is holding a fake sword,Guys having fun with a toy weapon at a party .
17,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/561179890_af8e31cb2e.jpg,A bearded man with a backpack on his back holding a tripod in front of a rocky creek and bridge .,Hiker near a suspension bridge in the mountains .
18,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3404012438_9baf8dcbaf.jpg,"As the dog swims close , the duck flies away .",Dog swimming towards a flying duck .
19,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2244024374_54d7e88c2b.jpg,Two dogs fight over a stick in a flooded field .,Dogs playing with a stick in the grassland.
20,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2755952680_68a0a1fa42.jpg,A guy is doing a trick on a bike .,High-flying BMX stunt.
21,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2084217208_7bd9bc85e5.jpg,"A person in a blue jacket , wearing a bicycle helmet is riding a bike",Woman biking through the park .
22,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3549006919_3604bc813e.jpg,a man wearing a yellow helmet climbing the side of a large rock wall .,Two climbers scaling a steep rock face.
23,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2923891109_ea0cc932ed.jpg,A small dog carries a yellow ball through the grass .,Dog carrying a tennis ball in its mouth .
24,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2265367960_7928c5642f.jpg,A child holding some shoes .,Smiling boy holding slippers .
25,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2911928620_06c3fa293e.jpg,A professional motorcycle racer raises his arm in victory .,Motorcyclist waving during a race .
26,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3396043950_12783c5147.jpg,people in a school cafeteria with a boy in the foreground wearing yellow and brown stripes,Busy community gathering with children and adults .
27,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/1355935187_2c99648138.jpg,A white dog is emerging from a blue canvas tunnel on an obstacle course .,Fluffy dog emerging from a colorful tent .
28,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3300019891_8f404d94a1.jpg,There is a large gathering of people in costumes outside on the street .,People in colorful medieval costumes at a festival .
29,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3201666946_04fe837aff.jpg,"A man , woman , and child .",A family standing together in front of their house.
30,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/374124237_51f62b6937.jpg,"A woman is propping her leg up revealing cleavage , a great tatoo , and some kicking boots .",Woman sitting casually on a bench with a relaxed pose .
31,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/195962790_3380aea352.jpg,A woman sits with her feet in a shallow pool and looks at a puppy .,Dogs and people lounging by the water .
32,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/166321294_4a5e68535f.jpg,Motorcyclist crouches low as he rounds a turn .,Motorcycle racer in action. 
33,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2192333873_2a0cbe849d.jpg,Two children play in the snow with a sled .,Sledding fun in the snow .
34,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2510029990_7014f907cb.jpg,A little boy sliding down a slide while laughing .,Boy enjoying a slide on a sunny day .
35,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3030823649_3b7b6c728d.jpg,Shepherd dog catches tennis ball,German Shepherd chasing a ball in mid-air .
36,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2318659263_c24005a5cb.jpg,A fluffy white dog running across the snow .,Dog running in the snow.
37,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/1921398767_771743bf4e.jpg,A dog has a wetsuit in his mouth on the beach .,Dog enjoying a day at the beach .
38,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3125628091_25a31709df.jpg,"Child on couch , holding red cloth with white fur .",Child playing with Christmas stocking. 
39,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3661072592_2e693cd5a0.jpg,A small girl puts confetti on a smiling woman 's hair .,Child sprinkling confetti on a smiling woman. 
40,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3472364264_dbde5a8d0a.jpg,A dog running on a beach .,Dog running on the beach. 
41,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2457052334_b5a1d99048.jpg,A man climbing the face of a rock .,Bouldering with a spotter on a large rock formation .
42,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2966190737_ceb6eb4b53.jpg,Two men dressed in white hit a ball while a third man walks up .,Batsman hitting a shot in a cricket match .
43,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3569284680_44fef444ef.jpg,A young boy in a red jacket and a young girl in a pink jacket are climbing stairs .,Children in hoodies climbing stairs .
44,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3095225232_2e6e6dc92e.jpg,people go up the escalator .,People on an escalator against a beige wall .
45,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3498997518_c2b16f0a0e.jpg,Football players on a feild the one on the left in a blue uniform the one on the right in a white one with the fans in the back .,Football players in action on the field .
46,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3087095548_6df7c2a8ed.jpg,Many people standing on a bridge over murky water .,Crowd gathers by a bridge with a vehicle hanging off the edge .
47,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3471066276_fb1e82e905.jpg,A black dog chasing another black dog down a grass covered hill .,Two dogs running in an open field. 
48,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/1309330801_aeeb23f1ee.jpg,Two girls are performing tricks on a trampoline .,Girls having fun on a trampoline at night .
49,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3544673666_ffc7483c96.jpg,A brown dog leaps in the air to catch a white volleyball .,Dog jumps to catch a ball.
50,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3302804312_0272091cd5.jpg,A brown and white dog runs beside a wooden fence with a tennis ball in his mouth .,Dog playing fetch with a tennis ball .
51,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/512101751_05a6d93e19.jpg,a muzzled white dog is running on the grass .,Dog running with a muzzle in the field .
52,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3512033861_a357bb58b6.jpg,a very large group of people standing crowded together outside .,A group of people engaged in a discussion.
53,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2944836001_b38b516286.jpg,Man holding a ball while a dog jumps up for it,Dog jumps to catch a ball.
54,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3547000169_40191e02ca.jpg,Three men sit at the counter in a restaurant .,Three people sit behind a neon-lit window at night .
55,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2637510448_4521cf6f29.jpg,Person in pink skis wearing skis on a slope .,Child skiing down a snowy slope.
56,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3218861747_5c5c547b66.jpg,A skateboarder is riding on a red ramp by the ocean .,Skater catching air at the ramp.
57,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3275711232_e261143664.jpg,A woman outside covers her face with fabric .,Bundled up for a chilly day in the park. 
58,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3494105596_f05cb0d56f.jpg,Man in t-shirt and red shorts kicking soccer ball .,Playing football on a dusty field .
59,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2100046085_69b59b6645.jpg,Two white dogs are drinking water out of a lake .,Two dogs enjoying a walk in the water. 
60,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/976392326_082dafc3c5.jpg,Two people sit in the distance on an unusual rock formation .,Two people sitting on a rock formation.
61,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3525403875_7f95e0cbfe.jpg,one white dog is running with a tennis ball in his mouth while another dog jogs along,Two dogs playing with a ball in the field.
62,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2346402952_e47d0065b6.jpg,Two women reviewing pictures they took .,Filmmakers setting up camera equipment .
63,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2192475933_d779bf42eb.jpg,child wearing a hat at the beach,Young surfer on a crowded beach .
64,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3291255271_a185eba408.jpg,A boy leans on a baseball bat and holds out one arm outstreached .,Little boy ready to play baseball .
65,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/615916000_5044047d71.jpg,A woman with black hair and a weird outfit on .,Woman dancing in a festive parade .
66,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2476214153_99a3998509.jpg,A young boy kicks a ball in an outdoor court .,Kid playing soccer on a sunny day .
67,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2559921948_06af25d566.jpg,a little boy at the beach with a surfboard,Young surfer walking along the beach.
68,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3060594966_030658d318.jpg,A young boy walks down a sidewalk .,Boy enjoying a sunny day outside .
69,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2087640654_1a84577a44.jpg,A blonde dog is digging a deep hole in the ground and its tail is up in the air .,Dog digging a hole.
70,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3091382602_60b9b53ed1.jpg,Two guys act silly and pose for a photo .,Two friends posing excitedly together .
71,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3415113018_7b95ddcd11.jpg,A soccer game on a grassy field .,Rugby players in action on a sunny day .
72,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2659606300_bea3feaf8b.jpg,A small child climbs stairs at a beach .,Child climbing outdoor steps on a sunny day .
73,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3616808182_fb4eaec778.jpg,Extreme downhill mountain biking .,Cyclist navigating a scenic mountain trail. 
74,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3350614753_5624e181b3.jpg,Many people are walking in the city near tall buildings .,People walking on a paved street in a city.
75,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2420730259_86e7f8a815.jpg,A man holding and kissing a crying little boy on the cheek .,Father comforting his upset child during a marathon .
76,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3110018626_307a123b59.jpg,Two brown and black dogs run through the dry grass .,Two dogs running in a field of tall grass .
77,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2748435417_ea7bbcc17c.jpg,Skateboarder on the gray steps on a large building,Skateboarder in mid-air doing a trick.
78,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3477683327_d9e6a2a64f.jpg,A man and young boy in waders stand in very shallow water .,Father and son fishing together. 
79,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2553188198_da1123a723.jpg,"Two dogs stand in a puddle , and one has a yellow tennis ball .",Dogs playing in a puddle with a ball .
80,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3119076670_64b5340530.jpg,A snowboarder flies in the air .,Snowboarder catching air at night. 
81,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/221973402_ecb1cd51f1.jpg,a black dog chases a boy wearing red and blue .,A boy runs ahead of a dog with a frisbee in its mouth .
82,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/247097023_e656d5854d.jpg,A man stands on a rock and takes in the view .,Man standing on a rock with graffiti. 
83,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3549011001_26cace3646.jpg,People in a brown boat float down the street of a city built on water .,Wooden boat cruising on the Grand Canal in Venice .
84,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/270263570_3160f360d3.jpg,Two brown dogs fight on the leafy ground .,Two dogs playing in the forest .
85,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3614595423_f9e0ab4fb0.jpg,Eight tan children making faces in a tree,Group of children playing around a tree.
86,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2366421102_2d60d53a0e.jpg,A girl in pink picks flowers .,Child exploring nature with flowers. 
87,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2053006423_6adf69ca67.jpg,A man in shorts is standing on a rock looking out at the view from the hilltop .,Man enjoys scenic view from cliff edge .
88,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3399798295_a452963365.jpg,Two women with their arms around each other smile into the camera .,Friends enjoying a night out .
89,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3410902181_b2a3c6eec9.jpg,A girl in a blue leotard hula hoops on a stage with balloon shapes in the background .,Child hula hooping during a performance .
90,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/654130822_4aeb1f1273.jpg,The swimmer is wearing goggles and looking into the distance .,Young swimmer focused before the race .
91,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/502884177_25939ac000.jpg,A woman in a red vest stands in a crowd .,Elderly woman in traditional attire on a sunny street .
92,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/1463732130_a754441289.jpg,We cannot see the face of the girl with the white T-shirt and blue jeans .,Child bouncing on a trampoline.
93,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3289433994_4c67aab384.jpg,Two black dogs run with a tennis ball across the snowy dirt .,Two dogs playing in the snow with a tennis ball .
94,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/469969326_4b84073286.jpg,A woman sits on a rock by the water .,Woman sitting on rocks by the water .
95,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2108799322_e25aa6e185.jpg,A dog running through mucky ground .,Dog running joyfully through a muddy field .
96,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3208999896_dab42dc40b.jpg,A couple taking a wedding photo with their wedding party .,Wedding party in a church .
97,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2351762979_0941aecced.jpg,Young child climbing on a chain link fence .,Child climbing a chain-link fence. 
98,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/3552435734_04da83b905.jpg,A black dog running through water .,Dog running in water.
99,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/flickr-image-caption/images/2789238858_14261dd25a.jpg,a muzzled greyhound dog running around a track,Two racing greyhounds in action. 
