Unnamed: 0,file_path,question_x,answer_x,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8,question_y,answer_y
12,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image809.png,what is the colour of the picture on the wall,red,red,red,red,red,red,what is on the desk,"book, scissor, papers, tape_dispenser"
13,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image408.png,what is on the left side of the stool,stand,printer,printer,drawer,printer,printer,what is the largest brown objects,carton
14,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image418.png,what is on the right side of the bed,table,basket,wooden_bench,toys_basket,table,window,what color is the chair in front of the white wall,red
15,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image201.png,what is the colour of television,black,black,black,black,black,black,what is on the right side of the notebook on the desk,plastic_cup_of_coffee
16,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image290.png,how manu blue chair are there,8,6,1,8,7,6,what is on the right and left and in front of the papers on the desk,notebook
17,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image686.png,what are found on the bottom left of the outside of the shower room,drawer,red,red,red,rug,towel,what is on the desk and behind the black cup,bottle
18,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image721.png,what is on the right side of the tap,cup,candle,cup,soap,soap,vase,how many bottles are on the desk,11
19,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image916.png,what is the object in the right top of the lamp shade,photo,fire_alarm,window,picture,decoration_item,ornamental_item,what is in front of the papers and notebook and bottles,chair
20,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image124.png,what is on the left of kitchen island,tupperware,cup,sink,sink,cup,sink,what is on the left side of the cabinet and on the right side of the chair,whiteboard
21,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image613.png,what is on the shelf,decorative_item,books,books,files,books,book,what is in front of the door and on the right of the table,chair
22,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image876.png,what is the object on the floor in front of the cabinet,garbage_bin,garbage_bin,garbage_bin,rug,garbage_bin,garbage_bin,how many chairs are on the right side of the table,3
23,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1051.png,what are hanged above the laundry basket,clothes,clothes,shirts_in_hanger,shirts_in_hanger,shirts_in_hanger,clothes,what is behind the whiteboard and in front of the wall,stacked_chairs
24,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1418.png,what is on the floor,rug,rug,floor_mat,rug,rug,rug,what is in front of the white board or in front of the door,"table, chair"
25,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1381.png,what in on the table,candelabra,candelabra,candelabra,candelabra,candlestick,candelabra,what is in front of the stacked chairs and on the left side of the table,ladder
26,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image461.png,what is in between the ornamental plants,tissue_box,vase,tray,lights,table,table,how many dark blue armchairs are in this picture,8
27,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image508.png,what color is the bathroom mat on the floor,red,red,brown,red,brown,red,what is in front of the monitor,keyboard
28,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image73.png,what is on the bed,comforter,pillow,pillow,pillow,pillow,pillow,what color is the chair in front of the wall on the left side of the stacked chairs,blue
29,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1202.png,what is found on the sofa,pillow,pillows,pillow,pillow,pillow,pillow,what is in front of the black wall on the right side of the projector screen,monitor
30,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image343.png,what is colour of the shelf on the top,black,black,black,black,black,black,what color is the ladder between the projector screen and armchairs,red
31,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image958.png,what is on the right side of the blinds,decorative_item,lamp,clock,lamp,lamp,lamp,how many monitors are in this picture,3
32,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image972.png,what are found on the bed,pillow,bed_sheets,bed_sheets,clothes,bed_sheets,bed_sheets,what color is the wall behind the projector screen,black
33,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1373.png,what is on the table,book,books,box,box,books,books,what is on the wall below the clock on the left side of the green curtain and on the right side of the gray door,telephone
34,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image143.png,what is the colour of the food inside the bottle,red,brown,box,garbage_bin,brown,brown,what color is the garbage bin in front of the gray door on the left side of the fire extinguisher,blue
35,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1439.png,what is on the dining table,ornamental_plant,decorative_item,ornamental_item,decorative_bowl,vase,plant,how many red objects are in this picture,1
36,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image854.png,how many knobs are there,6,7,7,7,10,14,what are on the wall on the left side of the green curtain but not behind the garbage bin,"clock, telephone"
37,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image470.png,what is the colour of the shirt the person is wearing,white,white,white,white,white,white,what is the largest dark gery object in this picture,door
38,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image540.png,what are the objects on the bed,blanket,"blanket, pillow","blanket, pillow","blanket, pillow","pillow, blanket",sheet,what color is the red object in front of the wall on the left side of the desk,paper_tray
39,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image515.png,what is behind the bed,curtain,mirror,mirror,mirror,mirror,mirror,what is above the desk in fornt of the scissor,hole_puncher
40,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image679.png,what is in front of the glass,towel,towel,soap_box,soap,towel,towel,what is the largest blue object in this picture,garbage_bin
41,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1097.png,what is on the right side of the table,bed,bed,picture,person,bed,carton,what is on the wall on the left side of the door above the desk,framed_certificate
42,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1362.png,how many drawers are there,4,4,6,4,4,4,what is on the floor on the right side of the image10 behind the door frame in fornt of the cabinet,garbage_bin
43,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image653.png,what is at the right most part,bathtub,shower_hose,towel_rod,shower_hose,shower_hose,shower_hose,how many blue objects are in this picture on the top of the white cabinet not on the floor,1
44,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image898.png,how many drawers are there,4,10,14,9,10,11,what is the largest white object on the left side of the picture,printer
45,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1218.png,what is hanged in front of the door,curtain,curtain,curtain,curtain,curtain,curtain,what is between the paper holder and tape dispenser below the white paper rack,hole_puncher
46,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image117.png,what is the object stuck close to the wall,wall_decoration,table,air_vent,window,shelves,wire_board,what is the blue object in the black pen stand,scissor
47,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1437.png,what is seen on the dining table,ornamental_plant,decorative_item,decoration_item,flower,plant,decorative_item,what color is the fax machine below the paper rack in front of the wall on the top of the cabinet,white
48,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1400.png,what is behind the chair,mirror,window,window,frame,window,window,how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1
49,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image60.png,what are the objects in the bed,hair_brush,"blanket, clothes, pillow",clothes,clothes,clothes,clothes,what is the black object between the white wall and gray locker,garbage_bin
50,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1363.png,what is the colour of the chair,red,red,red,red,red,red,what is on the right side of the wall on the top of the cabinet on the left side of the hole puncher,paper_holder
51,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image529.png,what is left of printer,mirror,laundry_basket,container,laundry_basket,laundry_basket,drawer,what color is the tape dispenser on the right side of the hole puncher in front of the wall,gray
52,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image357.png,what is the colour of the plant,green,green,green,green,green,green,how many table fans are in this picture,1
53,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image88.png,what is the object kept close to the wall,clock,clock,pillar,wall_decoration,books,books,what is the black and white object on the cabinet door between the pictures,clock
54,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image838.png,what is on the left side of the sink,towel,paper_towel,paper_towel,roll_of_paper_towels,tray,paper_towel,what is in fornt of the window on the left side of the fan coil on the right side of the wall,ornamental_plant
55,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image56.png,how many doors does the night stand have,3,0,0,0,0,0,what color is the ornamental plant in fornt of the fan coil but not close to sofa,red
56,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image477.png,what is the ball on the table,basketball,basketball,basketball,basketball,basketball,basketball,what the largest light green object in this picture,sofa
57,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image566.png,what is in front of refridgerator,person,person,person,person,person,chair,what is in fornt of the white wall below the colorful picture but not close to window,sofa
58,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1423.png,what is in the cupboard,decorative_plate,decorative_item,decorative_item,decorative_item,decorative_item,decorative_plate,how many ornamental plants are in this picture,3
59,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image591.png,what is the object on the floor in front of the wall,cabinet,basket,cabinet,cabinet,cabinet,cabinet,what is the red object on the wall on the left side of the corridor,fire_extinguisher
60,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1039.png,what is present in the room on the right side,slide,bucket,slide,slide,slide,basket,what is on the wall on the left side of the door and on the right side of the picture,fire_alarm
61,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1399.png,what is at the right top,chandelier,chandelier,chandelier,chandelier,picture,photo,what color is the door on the right side of the corridor,brown
62,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image869.png,how many photos are in the wall,9,10,10,12,9,12,how many ceiling lamps are on in the corridor,1
63,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1066.png,what are the things found near the table,container,"chair, books, shelf, bag, box","chair, bag, blue bin, shelf","bag, wooden_plank, chair, book, papers","chair, bag, books",,what is the smallest black object on the table below the bookshelf,tape_dispenser
64,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image580.png,what is on the right side of the curtains,picture,lamp,lamp,lamp,lamp,lamp,what is the white object on the table on the right side of the wall below the bookshelf,printer
65,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image990.png,what objects are found on the top row of the toys shelf,books,books,wall_decoration,toys_shelf,books,book,what is in front of the wall on the left side of the picture,ladder
66,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image280.png,what is on the bed,toy,toy_doll,soft_toy,toy_doll,soft_toy,soft_toy,what color is the table below the printer but not below the tape dispenser or paper tray,brown
67,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image685.png,what is on the right side of the toilet,tissue_roll,toilet_paper_holder,toilet_paper,tissue_roll,toilet_paper_holder,toilet_paper_holder,what is on the right side of the brown table and on the left side of the door frame in fornt of the wall,ladder
68,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1063.png,what is the largest object,bed,bed,bed,bed,bed,bed,what is the brown object above the file cabinet,bookshelf
69,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1376.png,what is stuck on the wall,wall_decoration,picture,picture,picture,picture,picture,what is on the right side of the ladder,door_way
70,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image422.png,what is on the left side of the sofa,foosball_table,foosball_table,foosball_table,foosball_table,foosball_table,foosball_table,how many ladders are in this picture,1
71,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1426.png,what are the white objects,chair,chairs,chairs,chairs,chair,chairs,how many chairs are around the conference table,6
72,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image973.png,what is found to the left side of the lamp,door,drawer,desk,drawer,door,drawer,what has been mounted on the ceiling between two ceiling lights,projector
73,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image438.png,what is on the desk,doll_house,computer,"calendar, notebook, papers",computer,papers,decorative_item,what color is the chair in front of the wall on the right side of the door behind the black chair,pink
74,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image598.png,how many sofas are there,2,2,3,3,3,3,what is on the top of the computer case on the right side of the picture,modem
75,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image501.png,what is the colour of the curtain,blue,blue,blue,blue,blue,blue,what color is the table below the computer case in front of the wall,brown
76,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image352.png,what is in front of the sofas,table,coffee_table,table,table,table,table,how many papers are on the wall on the left side of the modem,1
77,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1317.png,what is in front of the sofa,television,treadmill,excercise_machine,treadmill,treadmill,treadmill,what is on right side of the door way and on the left side of the armchair in frot of the wall,water_dispenser
78,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1320.png,what is on the right side of the chair,blinds,fruit_basket,fruit_basket,fruit_basket,basket,basket,what is on the right side of the blue water carboy and on the left side of the black cables,telephone_cord
79,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1440.png,what are stuck on the wall,photo,photo,picture,picture,picture,picture,what is on the table on the right side of the armchair in fornt of the wall,hand_sanitizer_dispenser
80,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image996.png,what objects are found on the bed,doll,soft_toy,table,soft_toy,soft_toy,pillow,what is the largest blue object in this picture,water_carboy
81,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image172.png,what is on the table between the dark brown armchairs,paper,tissue,pile of papers,tray,tissue,paper,what is the brown object on the desk on the left side of the paper in fornt of the computer chair,paper_tray
82,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image694.png,what is the colour of the towel,white,white,white,towel,white,white,what color is the garbage bin on the floor on the left side of the desk,purple
83,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image392.png,what is on the left side of the books,remote_control,cell_phone,air_conditioner,paper,photo_album,chair,what is between the computer chair and sofa and on the right side of the column,wall_divider
84,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1341.png,what is at the right bottom,table,chair,rug,dining_table,chair,table,what color is the paper holder on the right side of the water spray bottle,black
85,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image471.png,what is behind the monitor,printer,window,printer,picture,frame,printer,how many tape dispensers are on the desk,1
86,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image408.png,what is beneath the table,garbage_bin,bin,garbage_bin,garbage_bin,chessboard,bin,what is on the top right of the clock on the wall,framed_certificate
87,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1320.png,what are found on the rack,toy,decorative_item,decorative_item,decorative_items,decorative_item,decorative_item,how many hanging hooks are on the wall on the left side of the brown board below the red fire alarm,3
88,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1326.png,how many flags are visible,1,2,2,1,2,2,what color are the paper trays in the bookshelf on the left side of the wall divider not on the desk in front of the computer chair,black
89,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image13.png,how many white monitors are there,1,1,2,1,1,1,what is the smallest dark blue object on the desk,pen
90,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image697.png,how many drawer knobs are there,10,14,12,12,9,11,what is the black and white object on the top right of the brown board,clock
91,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image64.png,what is the object behind the cot and the table,room_divider,door,wall,wall,wall,wall_divider,what color is the garbage bin in front of the white board on the floor,blue
92,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image622.png,what is below the table,box,box,box,box,rug,box,how many ceiling lamps are off in this picture,2
93,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image472.png,how many doors does the bookshelf have,4,4,4,4,4,4,what is the black object on the right side of the flipped table,chair
94,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1173.png,what is behind the chair,table,wall,wall,air_vent,picture,wall,what is the largest white object in this picture,whiteboard
95,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image1113.png,what is the colour of the object on the television,pink,pink,black,pink,pink,pink,what is the blue object on the left side electrical outlet behind the computer case,water_carboy
96,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image953.png,what is the largest object,bed,bed,bed,bed,bed,bed,how many black objects are on the desk,3
97,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image169.png,how many televisions are there,1,1,1,1,1,1,how many red objects are on the wall,1
98,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image490.png,how many chairs are visible,2,4,6,8,5,7,what are the small objects below the whiteboard,"whiteboard_eraser, whiteboard_marker"
99,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/VQA/images/image25.png,how many stacks of paper are there on the table,2,2,2,3,2,4,what colors are the writings on the whiteboard,"red, black"
